id,organizationId,serviceName,status,responseTime,recordedAt
a11aea13-2b0f-4735-8843-42f836678e6a,org1,dashboard,online,745,2026-08-24 21:34:49.962
849c968e-86e1-47bf-b728-8b4c4078383d,org1,api,online,580,2026-08-24 21:34:49.966
16b14fd6-ba24-4c16-a9ae-31981f6a054b,org1,database,online,9,2026-08-24 21:34:49.968
61c0b7b4-0569-48b4-a22e-fc6f99dde94e,org1,connectors,offline,587,2026-08-24 21:34:49.971
f4fe252c-0d14-4396-a720-fdb07bbe6a83,org1,jobs,degraded,593,2026-08-24 21:34:49.973
a8bd2602-1ea5-4d9b-8276-7f252e541eee,org1,dashboard,online,24,2026-08-24 21:40:49.561
f4d3c3d8-3f89-4728-beca-98c0e87a4c05,org1,api,online,39,2026-08-24 21:40:49.564
44043137-3844-49e0-8df4-008ea4bbecaf,org1,database,online,2,2026-08-24 21:40:49.567
920dbac4-83be-4d34-a053-ae9ee5f40286,org1,connectors,offline,89,2026-08-24 21:40:49.569
5b83b660-171b-4f9e-a0d2-840b034696be,org1,jobs,degraded,112,2026-08-24 21:40:49.572
d3e66dd9-ea3f-4c63-926c-84fc82530db9,org1,dashboard,online,230,2026-08-24 21:46:13.748
ea506dcc-a7a3-4f48-83b2-91eced9e8620,org1,api,online,189,2026-08-24 21:46:13.754
4b76de4e-4ca4-4663-b9d8-1e5a0b5c91a8,org1,database,online,4,2026-08-24 21:46:13.756
c3ea58cc-fec3-4925-82d1-41b2d306d506,org1,connectors,offline,220,2026-08-24 21:46:13.759
fe5223f9-91e9-46c2-94bc-afe84088f670,org1,jobs,degraded,220,2026-08-24 21:46:13.763
67c2f75c-92c2-485c-ad11-4c8a0180d1ab,org1,dashboard,online,219,2026-08-24 21:51:51.694
2d75a911-ef3e-4ef5-b583-1d0c824e4105,org1,api,online,143,2026-08-24 21:51:51.698
1226b2d6-7729-4f06-9c8c-81b0031ece39,org1,database,online,4,2026-08-24 21:51:51.701
8697b883-6192-4c73-b12d-39a7e3e4ea1a,org1,connectors,degraded,173,2026-08-24 21:51:51.704
25782e64-be7c-4f20-a48c-a50aa10ac14e,org1,jobs,degraded,165,2026-08-24 21:51:51.707
d2bb3442-0330-4101-9b57-bd6762cc4957,org1,dashboard,online,22,2026-08-24 21:57:27.609
abbd371f-b33f-4387-ab41-a7a1666d599f,org1,api,online,155,2026-08-24 21:57:27.612
0bf37ab1-6ca6-4d45-b8da-abfe662f65ca,org1,database,online,1,2026-08-24 21:57:27.614
4e8eb16f-21c6-4914-9f75-65173cc51530,org1,connectors,degraded,175,2026-08-24 21:57:27.616
98686bcf-c129-48cf-8b14-afaa90f23937,org1,jobs,degraded,190,2026-08-24 21:57:27.617
44ad5a65-5187-4b7f-bfa8-a8d02d98ac40,org1,dashboard,online,323,2026-08-25 10:14:54.526
a8fe27c4-c89c-423c-a407-250ca9a5fbbe,org1,api,online,233,2026-08-25 10:14:54.531
3e675070-0bfe-4fa5-b666-acc4340b33e1,org1,database,online,3,2026-08-25 10:14:54.535
538d2dd5-8dcc-4fb8-8792-9a018fdce7b2,org1,connectors,degraded,266,2026-08-25 10:14:54.54
b12dc06e-2ea7-4df0-b676-e2701fca4bc7,org1,jobs,degraded,275,2026-08-25 10:14:54.545
